game_id,obs_type,tstart,tstop,event,ProbWin,Season,Goal,TimeOfFirstGoal,FirstGoalTeam,home_team,away_team,date
1,1,0,27,0,0.6013578448088787,0,0,0,0,Arsenal,Aston Villa,2008-03-01
1,2,27,90,1,0.6013578448088787,0,1,27,0,Arsenal,Aston Villa,2008-03-01
2,1,0,21,1,0.7831469823475309,0,0,0,0,Arsenal,Birmingham,2008-01-12
2,2,21,48,0,0.7831469823475309,0,1,21,1,Arsenal,Birmingham,2008-01-12
3,1,0,4,1,0.6934664605442098,0,0,0,0,Arsenal,Blackburn,2008-02-11
3,2,4,90,1,0.6934664605442098,0,1,4,1,Arsenal,Blackburn,2008-02-11
4,1,0,68,1,0.7492944270018467,0,0,0,0,Arsenal,Bolton,2007-10-20
4,2,68,80,1,0.7492944270018467,0,1,68,1,Arsenal,Bolton,2007-10-20
5,1,0,45,1,0.38574375429750174,0,0,0,0,Arsenal,Chelsea,2007-12-16
5,2,45,90,0,0.38574375429750174,0,1,45,1,Arsenal,Chelsea,2007-12-16
6,1,0,10,1,0.7938819531098139,0,0,0,0,Arsenal,Derby,2007-09-22
6,2,10,25,1,0.7938819531098139,0,1,10,1,Arsenal,Derby,2007-09-22
7,1,0,76,1,0.5566184868170598,0,0,0,0,Arsenal,Everton,2008-05-04
7,2,76,90,0,0.5566184868170598,0,1,76,1,Arsenal,Everton,2008-05-04
8,1,0,1,0,0.6971496907870395,0,0,0,0,Arsenal,Fulham,2007-08-12
8,2,1,83,1,0.6971496907870395,0,1,1,0,Arsenal,Fulham,2007-08-12
9,1,0,42,0,0.4487335480536005,0,0,0,0,Arsenal,Liverpool,2008-04-05
9,2,42,54,1,0.4487335480536005,0,1,42,0,Arsenal,Liverpool,2008-04-05
10,1,0,80,1,0.5790623672322752,0,0,0,0,Arsenal,Man City,2007-08-25
10,2,80,90,0,0.5790623672322752,0,1,80,1,Arsenal,Man City,2007-08-25
11,1,0,45,0,0.38080612570456235,0,0,0,0,Arsenal,Man United,2007-11-03
11,2,45,48,1,0.38080612570456235,0,1,45,0,Arsenal,Man United,2007-11-03
12,1,0,25,0,0.739758846323613,0,0,0,0,Arsenal,Middlesbrough,2008-03-15
12,2,25,86,1,0.739758846323613,0,1,25,0,Arsenal,Middlesbrough,2008-03-15
13,1,0,40,1,0.7174353431305879,0,0,0,0,Arsenal,Newcastle,2008-01-29
13,2,40,72,1,0.7174353431305879,0,1,40,1,Arsenal,Newcastle,2008-01-29
14,1,0,7,1,0.6171438496945836,0,0,0,0,Arsenal,Portsmouth,2007-09-02
14,2,7,35,1,0.6171438496945836,0,1,7,1,Arsenal,Portsmouth,2007-09-02
15,1,0,30,1,0.7121731718437172,0,0,0,0,Arsenal,Reading,2008-04-19
15,2,30,38,1,0.7121731718437172,0,1,30,1,Arsenal,Reading,2008-04-19
16,1,0,6,1,0.7831437005442846,0,0,0,0,Arsenal,Sunderland,2007-10-07
16,2,6,14,1,0.7831437005442846,0,1,6,1,Arsenal,Sunderland,2007-10-07
17,1,0,48,1,0.6155873824795712,0,0,0,0,Arsenal,Tottenham,2007-12-22
17,2,48,66,0,0.6155873824795712,0,1,48,1,Arsenal,Tottenham,2007-12-22
18,1,0,2,1,0.7054576316272825,0,0,0,0,Arsenal,West Ham,2008-01-01
18,2,2,18,1,0.7054576316272825,0,1,2,1,Arsenal,West Ham,2008-01-01
19,1,0,83,1,0.7998871154148892,0,0,0,0,Arsenal,Wigan,2007-11-24
19,2,83,85,1,0.7998871154148892,0,1,83,1,Arsenal,Wigan,2007-11-24
20,1,0,14,1,0.23926684594991512,0,0,0,0,Aston Villa,Arsenal,2007-12-01
20,2,14,23,0,0.23926684594991512,0,1,14,1,Aston Villa,Arsenal,2007-12-01
21,1,0,28,1,0.5329644843845417,0,0,0,0,Aston Villa,Birmingham,2008-04-20
21,2,28,42,1,0.5329644843845417,0,1,28,1,Aston Villa,Birmingham,2008-04-20
22,1,0,68,0,0.4759353806294293,0,0,0,0,Aston Villa,Blackburn,2008-01-26
22,2,68,72,1,0.4759353806294293,0,1,68,0,Aston Villa,Blackburn,2008-01-26
23,1,0,9,1,0.5525092091143562,0,0,0,0,Aston Villa,Bolton,2008-04-05
23,2,9,56,1,0.5525092091143562,0,1,9,1,Aston Villa,Bolton,2008-04-05
24,1,0,47,1,0.1740068517222516,0,0,0,0,Aston Villa,Chelsea,2007-09-02
24,2,47,88,1,0.1740068517222516,0,1,47,1,Aston Villa,Chelsea,2007-09-02
25,1,0,57,1,0.6509713163032121,0,0,0,0,Aston Villa,Derby,2007-11-03
